,1009-2016-0-R1VRE,5067-4084-0-GVRE,1810-J012-1-G-TIPmvre,3349-F048-60-R-VRE-TIP,1030-E028-1-O-TIPmvre,1201-6005-0-GVRE,1523-3033-0-GVRE,2427-4042-30-RVRE,3421-E085-30-G-TIPmvre,6773-4106-0-GVRE,6994-4073-120-HVRE,8638-6066-0-GVRE,8805-1121-0-RVRE,5745-3096-0-GVRE,4783-3081-0-RVRE,7763-4119-0-GVRE,6071-3100-0-RVRE,9573-3160-14-RVRE,2565-5010-0-GVRE,1969-E060-1-G-TIPmvre,3238-E079-1-G-TIPmvre,7605-4117-0-HVRE,9378-3164-0-GVRE,3254-F047-14-G-TIPmvre,3982-F070-1-F-TIPmvre,3556-F057-1-G-TIPmvre,3993-E116-14-R-TIPmvre,315-4007-0-GVRE,12-3002-0-RVRE,1157-3026-0-RVRE,358-3009-14-HVRE,5182-3089-0-RVRE,3429-F034-240-G-TIPmvre,3043-J015-1-G-TIPmvre,177-3007-14-RVRE,1784-G009-120-U-VRE-TIP,28-A002-1-G-TIPmvre,1933-L010-1-G-TIPmvre,3302-E081-1-G-TIPmvre,292-F002-1-G-TIPmvre,3485-E103-1-G-TIPmvre,3668-E110-1-G-TIPmvre,2846-4047-0-GVRE,950-3024-0-RVRE,3567-3050-30-R1VRE,6825-3107-0-RVRE,3735-J027-1-R-TIPmvre,3936-E115-1-N-TIPmmrsa,3995-4065-30-GVRE,5087-6042-0-RVRE,3951-2040-0-RVRE,4232-1070-0-R1VRE,3871-E114-1-R-TIPmvre,3444-E095-1-R-TIPmvre,4916-5026-30-GVRE,295-E005-14-R-TIPmvre,2593-3042-14-RVRE,519-1016-0-RVRE,1864-6011-0-RVRE,2849-4048-0-RVRE,4893-2046-0-GVRE,30-1004-14-HVRE,3934-F068-1-R-TIPmvre,1885-F033-1-G-TIPmvre,1798-F029-1-R-TIPmvre,604-4008-14-RVRE,984-F014-1-G-TIPmvre,3640-F062-1-O-TIPmvre,1783-D030-1-R-TIPmvre,2063-K016-1-G-TIPmvre,3252-F045-30-G-TIPmvre,3671-J024-1-R-TIPmvre,3891-A018-1-G-TIPmvre,1565-1035-0-GVRE,501-4010-0-HVRE,9076-6068-0-RVRE,5701-2058-0-GVRE,8517-3146-0-GVRE,1432-E039-1-G-TIPmvre,507-E016-1-F-TIPmvre,508-L001-60-G-TIPmvre,514-E013-14-R-VRE-TIP,681-L003-30-G-TIPmvre,513-E013-14-G-VRE-TIP,682-E013-DC-G-VRE-TIP,3505-F055-14-R-TIPmvre,3901-F066-14-G-TIPmvre,1519-B006-30-G-TIPmvre,3419-D045-14-G-TIPmvre,3471-F053-1-G-TIPmvre,6940-3111-0-RVRE,853-5001-0-RVRE,6842-4101-30-RVRE,3983-J022-240-G-TIPmvre,4477-1075-0-RVRE,1205-6006-0-RVRE,1826-4032-14-R1VRE,187-4002-30-RVRE,1325-4024-0-RVRE,2313-4043-0-RVRE,4785-3083-0-GVRE,1643-4030-14-RVRE,2017-4039-0-R1VRE,2312-4041-14-RVRE,3963-3061-0-GVRE,1739-6010-0-RVRE,7500-6059-14-GVRE,692-2014-0-GVRE,850-2015-0-RVRE,5282-6041-14-GVRE,6241-5036-0-RVRE,2395-5005-30-G2VRE,3687-D049-1-G-TIPmvre,1812-E055-1-R-TIPmvre,3407-E087-14-R-TIPmvre,3470-E088-30-R-TIPmvre,3511-E104-14-G-TIPmvre,1964-B008-1-G-TIPmvre,3828-L019-14-G-TIPmvre,6299-6052-0-GVRE,7209-6060-0-RVRE-EMPTY,8117-4125-0-RVRE,3902-H020-1-G-TIPmvre,1214-J006-60-R-TIPmvre,3220-4053-0-RVRE,1238-K002-240-R-TIPmvre,352-K001-60-G-TIPmvre,3366-F050-14-G-VRE-TIP,3367-F050-14-R-VRE-TIP,3447-F050-30-G-VRE-TIP,4-K003-1-G-TIPmvre,1750-K011-150-G-TIPmvre,19-K005-1-R-TIPmvre,31-K009-1-G-TIPmvre,3954-F065-30-G-TIPmvre,3448-F050-30-R-VRE-TIP,1551-E024-120-R-TIPmvre,579-E017-14-G-TIPmvre,3618-L016-1-R-TIPmvre,1809-F010-300-G-TIPmvre,3338-F021-360-U-TIPmvre,3733-F064-1-R-TIPmvre,3825-C019-1-G-TIPmvre,1957-4037-0-RVRE,3401-5015-0-H1VRE,3339-E083-14-G-VRE-TIP,3535-4051-30-HVRE,3889-4054-60-RVRE,6557-3102-14-GVRE,1726-E049-14-O-TIPmvre,2015-F036-14-G-TIPmvre,2186-5008-0-RVRE,2031-F038-1-G-TIPmvre,3016-E071-14-G-TIPmvre,365-J004-14-G-TIPmvre,289-F001-1-G-TIPmvre,4029-G017-1-G-TIPmvre
519-1016-0-RVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,65,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,61,61,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
1864-6011-0-RVRE,57,58,61,62,62,62,58,63,62,62,62,62,62,60,63,63,58,59,58,58,58,63,59,62,62,62,62,62,62,60,60,60,62,62,59,59,59,60,60,60,60,60,64,64,60,60,60,64,64,60,60,61,60,58,60,64,64,60,75,62,64,61,60,64,60,65,60,60,58,58,62,60,60,59,60,61,60,60,58,62,58,62,58,62,62,58,58,58,58,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,33,35,50,50,50,50,50,50,51,50,51,50,33,20,20,20,20,20,20,20,20,20,20,20,20,20,34,35,35,34,34,36,36,34
2849-4048-0-RVRE,57,57,60,60,61,61,58,61,61,61,61,61,61,59,61,61,58,58,58,58,58,61,58,61,61,61,61,61,61,59,59,59,61,61,59,59,59,59,59,59,59,59,62,62,59,59,59,62,62,59,59,59,59,57,59,62,62,59,62,72,62,59,59,62,59,62,59,59,57,57,60,59,59,57,59,59,59,59,58,61,58,61,58,61,61,58,58,58,58,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,31,33,49,49,49,49,49,49,49,49,49,49,31,18,18,18,18,18,18,18,18,18,18,18,18,18,32,33,33,32,32,34,34,32
4893-2046-0-GVRE,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,62,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,63,63,60,60,60,64,64,60,60,60,60,58,60,64,65,60,64,62,65,60,60,65,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
30-1004-14-HVRE,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,60,60,60,60,60,61,61,60,60,60,60,60,60,60,61,60,58,60,60,60,60,61,59,60,76,60,60,60,61,60,60,58,58,58,60,60,58,60,61,60,60,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3934-F068-1-R-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,64,60,60,60,60,60,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
1885-F033-1-G-TIPmvre,57,57,61,61,62,62,58,62,62,62,62,62,62,60,62,62,58,58,58,58,58,62,58,62,62,63,62,62,62,60,60,60,62,62,59,59,59,59,59,59,59,59,63,63,60,60,60,64,64,60,60,60,60,58,60,64,65,60,64,62,65,60,60,71,60,64,60,60,58,58,62,60,60,59,60,60,60,60,58,62,58,62,58,62,62,58,58,58,58,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,19,19,19,19,19,19,19,33,34,34,33,33,35,35,33
1798-F029-1-R-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,60,60,70,69,66,65,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
604-4008-14-RVRE,57,58,61,62,62,62,58,63,62,62,62,62,62,60,63,63,58,59,58,58,58,63,59,62,62,62,62,62,62,60,60,60,62,62,59,59,59,60,60,60,60,60,64,64,60,60,60,64,64,60,60,61,60,58,60,64,64,60,65,62,64,61,60,64,69,83,66,65,58,58,62,60,60,59,60,61,60,60,58,62,58,62,58,62,62,58,58,58,58,59,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,33,35,50,50,50,50,50,50,51,50,51,50,33,20,20,20,20,20,20,20,20,20,20,20,20,20,34,35,35,34,34,36,36,34
984-F014-1-G-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,60,60,66,66,68,65,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3640-F062-1-O-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,60,60,65,65,65,74,58,58,58,60,60,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
1783-D030-1-R-TIPmvre,57,57,57,57,56,56,56,56,56,56,56,56,56,54,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,78,77,61,63,63,56,58,58,58,58,56,56,56,56,56,56,56,56,56,56,56,54,54,56,48,52,52,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,30,30,48,48,48,48,48,48,48,48,48,48,30,14,14,14,14,14,14,14,14,14,14,14,14,14,30,30,29,30,30,30,30,30
2063-K016-1-G-TIPmvre,57,58,58,58,56,56,56,56,57,56,56,56,56,54,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,56,56,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,77,79,61,63,63,56,58,58,58,58,56,56,56,56,56,56,56,56,56,56,56,54,54,56,48,52,52,3,3,3,3,3,3,3,3,3,3,3,3,45,45,3,3,3,45,3,3,3,3,3,3,3,3,3,3,30,30,48,48,48,48,48,48,48,48,48,49,30,14,14,14,14,14,14,14,14,14,14,14,14,14,30,30,30,30,30,30,30,30
3252-F045-30-G-TIPmvre,55,55,59,61,60,60,56,60,60,60,61,60,60,312,60,60,56,56,56,56,56,60,56,60,60,60,60,60,91,58,58,58,60,60,58,57,57,57,57,57,57,57,61,61,58,58,58,62,62,58,58,58,58,56,59,62,62,58,62,60,62,58,58,62,58,62,58,58,61,61,323,63,63,311,58,58,58,58,56,60,56,60,56,60,61,56,56,56,57,310,309,57,46,52,52,4,4,4,4,4,4,4,4,4,4,4,4,299,299,4,2,2,46,2,2,3,2,4,5,2,2,2,2,222,224,54,54,54,54,54,54,54,54,54,54,205,35,35,35,35,35,35,54,35,35,35,35,35,35,79,80,284,79,79,101,151,79
3671-J024-1-R-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,63,63,63,63,60,60,60,60,60,60,63,58,60,60,60,60,60,59,60,60,60,60,60,60,60,60,63,63,63,80,66,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3891-A018-1-G-TIPmvre,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,60,60,60,60,60,60,63,63,63,66,70,58,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
1565-1035-0-GVRE,55,55,56,58,57,57,56,57,57,57,58,57,57,309,57,57,56,56,56,56,56,57,56,57,57,57,57,57,88,55,55,55,57,57,58,57,57,57,57,57,57,57,59,59,58,58,58,59,59,58,58,58,58,56,59,59,59,58,59,57,59,58,58,59,58,59,58,58,56,56,311,58,58,325,69,62,58,58,56,57,56,57,56,57,58,56,56,56,57,307,310,57,46,53,53,4,4,4,4,4,4,4,4,4,4,4,4,299,299,4,2,2,46,2,2,3,2,4,5,2,2,2,2,222,224,51,51,51,51,51,51,51,51,51,51,205,34,34,33,34,34,34,50,35,35,35,35,35,31,77,77,280,77,77,97,150,80
501-4010-0-HVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,61,61,60,60,60,60,60,60,60,60,60,58,60,60,60,60,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,69,72,64,60,60,58,58,58,58,58,58,58,58,58,58,58,54,57,58,48,55,55,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,16,16,16,16,16,15,31,31,30,31,31,31,31,31
9076-6068-0-RVRE,57,58,57,58,58,58,58,59,58,58,58,58,58,56,59,59,58,59,58,58,58,59,59,58,58,58,58,58,58,56,56,56,58,58,59,59,59,60,60,60,60,60,61,61,60,60,60,60,60,60,60,61,60,58,60,60,60,60,61,59,60,61,60,60,60,61,60,60,58,58,58,60,60,62,64,70,60,60,58,58,58,58,58,58,58,58,58,58,58,55,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,48,47,48,47,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
5701-2058-0-GVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,61,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,81,66,58,58,58,58,58,58,58,58,58,58,58,54,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
8517-3146-0-GVRE,57,57,57,57,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,59,58,58,58,58,58,58,58,56,59,56,58,58,60,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,58,60,60,60,61,60,59,60,60,60,60,60,60,60,60,58,58,58,60,60,58,60,60,66,88,58,58,58,58,58,58,58,58,58,58,58,54,56,58,59,54,65,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,16,16,16,16,16,16,16,16,16,16,16,16,16,33,33,32,33,33,33,33,33
1432-E039-1-G-TIPmvre,56,56,56,56,59,59,61,61,63,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,75,74,61,74,73,74,74,61,61,61,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,17,15,15,15,15,15,15,32,32,31,32,32,32,32,31
507-E016-1-F-TIPmvre,56,56,60,60,63,63,61,65,67,65,65,65,65,63,65,65,61,61,59,59,59,63,59,63,63,63,63,63,63,61,61,61,63,63,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,74,79,61,78,73,78,78,61,61,61,61,61,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,21,19,19,19,19,19,19,34,35,35,34,34,36,36,33
508-L001-60-G-TIPmvre,56,56,56,56,59,59,61,61,61,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,61,61,65,61,61,61,61,61,61,61,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
514-E013-14-R-VRE-TIP,56,56,60,60,63,63,61,65,67,65,65,65,65,63,65,65,61,61,59,59,59,63,59,63,63,63,63,63,63,61,61,61,63,63,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,74,78,61,80,73,78,78,61,61,61,61,61,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,21,19,19,19,19,19,19,34,35,35,34,34,36,36,33
681-L003-30-G-TIPmvre,56,56,56,56,59,59,61,61,63,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,73,73,61,73,74,73,73,61,61,61,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,17,15,15,15,15,15,15,32,32,31,32,32,32,32,31
513-E013-14-G-VRE-TIP,56,56,60,60,63,63,61,65,67,65,65,65,65,63,65,65,61,61,59,59,59,63,59,63,63,63,63,63,63,61,61,61,63,63,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,58,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,60,58,58,57,58,58,58,58,74,78,61,78,73,80,79,61,61,61,61,61,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,32,34,50,50,50,50,50,50,50,50,50,50,32,19,19,19,19,19,19,21,19,19,19,19,19,19,34,35,35,34,34,36,36,33
682-E013-DC-G-VRE-TIP,56,56,60,60,63,63,61,65,67,65,65,65,65,64,65,65,61,61,59,59,59,63,59,63,63,63,63,63,63,61,61,61,63,63,58,58,58,58,58,58,58,58,61,61,58,58,58,62,62,58,58,58,58,56,59,62,62,58,62,61,62,58,58,62,58,62,58,58,56,56,61,58,58,58,58,58,58,58,74,78,61,78,73,79,80,61,61,61,62,62,58,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,48,48,5,3,3,45,3,3,4,3,5,6,3,3,3,3,33,35,51,51,51,51,51,51,51,51,51,51,33,20,20,20,20,20,20,22,20,20,20,20,20,20,35,36,36,35,35,37,37,34
3505-F055-14-R-TIPmvre,56,56,56,56,59,59,61,61,61,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,61,61,61,61,61,61,61,68,61,61,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3901-F066-14-G-TIPmvre,56,56,56,56,59,59,61,61,61,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,61,61,61,61,61,61,61,61,72,61,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
1519-B006-30-G-TIPmvre,56,56,56,56,59,59,61,61,61,61,61,61,61,59,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,56,58,58,58,58,61,61,61,61,61,61,61,61,61,68,61,57,56,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,47,47,5,3,3,45,3,3,3,3,5,5,3,3,3,3,29,31,47,47,47,47,47,47,47,47,47,47,29,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,30,31,31,31,31,31
3419-D045-14-G-TIPmvre,56,56,56,56,59,59,61,61,61,61,61,61,61,60,61,61,61,61,59,59,59,59,59,59,59,59,59,59,59,57,57,57,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,59,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,57,58,58,57,58,58,58,58,61,61,61,61,61,61,62,61,61,61,65,58,57,58,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,48,48,5,3,3,45,3,3,4,3,5,6,3,3,3,3,30,32,48,48,48,48,48,48,48,48,48,48,30,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,31,32,32,32,32,32
3471-F053-1-G-TIPmvre,54,55,58,61,59,59,57,62,61,61,62,61,61,313,62,62,57,58,55,55,55,60,57,59,59,59,59,59,90,59,59,59,59,59,55,54,54,55,55,55,55,55,58,58,54,54,54,58,58,54,54,55,54,54,55,58,58,54,59,57,58,55,54,58,54,59,54,54,54,54,310,54,54,307,54,55,54,54,57,61,57,61,57,61,62,57,57,57,58,330,307,55,47,50,50,2,2,2,2,2,2,2,2,2,2,2,2,297,297,2,2,2,46,2,2,3,2,2,3,2,2,2,2,222,222,53,53,53,53,53,53,54,53,54,53,205,33,33,33,33,33,33,52,33,33,33,33,33,33,77,78,282,77,77,100,150,77
6940-3111-0-RVRE,54,54,55,57,57,57,56,57,57,57,58,57,57,309,57,57,56,56,56,56,56,57,56,57,57,57,57,57,88,55,55,55,57,57,57,56,56,56,56,56,56,56,56,56,56,56,56,57,57,56,56,56,56,54,57,57,57,56,57,56,57,56,56,57,56,57,56,56,54,54,309,56,56,310,57,56,56,56,56,57,56,57,56,57,58,56,56,56,57,307,318,59,46,52,52,4,4,4,4,4,4,4,4,4,4,4,4,299,299,4,2,2,46,2,2,3,2,4,5,2,2,2,2,219,221,51,51,51,51,51,51,51,51,51,51,202,31,31,31,31,31,31,50,32,32,32,32,32,31,77,77,280,77,77,97,147,77
853-5001-0-RVRE,56,56,56,56,58,58,58,58,58,58,59,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,56,56,57,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,55,59,71,48,54,54,5,5,5,5,5,5,5,5,5,5,5,5,48,48,5,3,3,45,3,3,3,3,5,5,3,3,3,3,30,32,47,47,47,47,47,47,47,47,47,47,30,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,31,31,31,31,31,31
